,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-03-21,9020.0,2754.860107421875,1330.1099853515625,81.06999969482422,1.6829999685287476,2.727099895477295,794.0,2237.0,9060.0,-0.029952497822827315,41.82767909224687,-0.7700770077007646,11.964285714285714,-1.0867598173357607
2024-03-22,8910.0,2748.56005859375,1334.6800537109375,80.62999725341797,1.659000039100647,2.739799976348877,794.0,2251.25,9022.0,-0.17194375508860346,31.636819993932605,-1.980198019801982,17.142857142857142,-1.4840382213486336
2024-03-25,8690.0,2737.570068359375,1343.5999755859375,81.94999694824219,1.6150000095367432,2.7483999729156494,789.0,2268.0,8940.0,-0.4762727874565555,20.748704907061523,-4.5054945054945,32.142857142857146,-1.8298304574131166
2024-03-26,8420.0,2757.090087890625,1339.1300048828125,81.62000274658203,1.5750000476837158,2.7005999088287354,789.0,2246.0,8814.0,-0.9520274807213523,14.26156944373706,-7.370737073707367,51.42857142857143,-2.1231245124019438
2024-03-27,8100.0,2755.110107421875,1343.06005859375,81.3499984741211,1.718000054359436,2.6847000122070312,865.0,2247.0,8628.0,-1.6077487352177768,10.193715314664288,-10.989010989010994,73.57142857142857,-2.368278942860833
2024-03-28,8100.0,2745.820068359375,1349.800048828125,83.16999816894531,1.7630000114440918,2.7611000537872314,860.0,2284.25,8444.0,-2.11211305811895,10.193715314664288,-10.989010989010994,73.57142857142857,-2.2532713059703084
2024-03-29,8130.0,2746.6298828125,1349.800048828125,83.30499839782715,1.7815000116825104,2.7483250498771667,860.75,2285.5,8288.0,-2.4626186168230055,12.895068907023344,-10.659340659340655,75.0,-1.6831980630632444
2024-04-01,8160.0,2747.860107421875,1345.31005859375,83.70999908447266,1.8370000123977661,2.7100000381469727,863.0,2289.25,8182.0,-2.686460737246501,15.628177078828045,-10.329670329670327,76.42857142857143,-0.9787864579591457
2024-04-02,8200.0,2753.159912109375,1355.530029296875,85.1500015258789,1.8619999885559082,2.7588999271392822,879.0,2326.5,8138.0,-2.7974826491046976,19.265618609463374,-9.392265193370164,78.57142857142857,-0.28345566878391537
2024-04-03,8220.0,2706.969970703125,1350.72998046875,85.43000030517578,1.840999960899353,2.7609000205993652,860.0,2372.0,8162.0,-2.8362927938785667,21.097280247560292,-8.97009966777409,80.0,0.3449483512226692
2024-04-04,8240.0,2742.0,1344.8399658203125,86.58999633789062,1.7740000486373901,2.7941999435424805,853.0,2386.75,8190.0,-2.8172985665625494,22.97910836432601,-8.64745011086474,81.42857142857143,0.8888456002051228
2024-04-05,8490.0,2714.2099609375,1351.3599853515625,86.91000366210938,1.784999966621399,2.788599967956543,853.0,2395.25,8262.0,-2.534799801586011,41.69754319993901,-4.7138047138047146,99.28571428571429,1.3487266929520203
2024-04-08,8560.0,2717.64990234375,1350.27001953125,86.43000030517578,1.843999981880188,2.7486000061035156,847.0,2405.5,8342.0,-2.218395793904453,45.67839745953377,-1.4959723820483273,100.71428571428571,1.7324301678982934
2024-04-09,8700.0,2705.159912109375,1354.219970703125,85.2300033569336,1.871999979019165,2.7555999755859375,845.0,2407.25,8442.0,-1.8134598892740261,52.64288741735979,3.325415676959631,109.28571428571429,2.050087937840111
