,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-02-07,70.0,2829.696044921875,7.100100040435791,73.86000061035156,1.9670000076293945,2.263000011444092,953.0,70.0,0.04694730974117776,54.66032971146377,0.12873694750394904,0.02809523809523792,0.584822309958259
2024-02-08,70.0,2865.903076171875,7.101099967956543,76.22000122070312,1.9170000553131104,2.3420000076293945,945.0,70.0,0.03925148997041747,54.66032971146377,0.06432706740047145,0.02428571428571453,0.4797265973406937
2024-02-09,70.0,2869.961337002841,7.10699987411499,76.83999633789062,1.847000002861023,2.3394999504089355,945.0,70.0,0.03267478438249842,54.66032971146377,0.0,0.012857142857143344,0.3931213878752615
2024-02-12,70.0,2882.1361194957385,7.178999900817871,76.91999816894531,1.7680000066757202,2.367300033569336,933.0,70.0,0.027107140422378405,54.66032971146377,0.0,0.009642857142857508,0.3219536760143775
2024-02-13,70.0,2886.1943803267045,7.192200183868408,77.87000274658203,1.6890000104904175,2.3945999145507812,933.0,70.0,0.022427353041382346,54.66032971146377,0.0,0.006428571428571672,0.26357109606998463
2024-02-14,70.0,2890.2526411576705,7.188700199127197,76.63999938964844,1.6089999675750732,2.3169000148773193,926.0,70.0,0.018515489229532042,54.66032971146377,0.0,0.003214285714285836,0.21572630463182207
2024-02-15,70.0,2894.3109019886365,7.175899982452393,78.02999877929688,1.5809999704360962,2.3183000087738037,929.0,70.0,0.015259583690005064,54.66032971146377,0.0,0.0,0.17654195316786314
2024-02-16,70.0,2898.3691628196025,7.163899898529053,79.19000244140625,1.6089999675750732,2.3359999656677246,929.0,70.0,0.012558805799611213,54.66032971146377,0.0,0.0,0.14446272273552552
2024-02-19,70.0,2910.5439453125,7.118599891662598,78.4325008392334,1.5842499732971191,2.292050004005432,926.0,70.0,0.010324510929529738,54.66032971146377,0.0,0.0,0.11820642640088508
2024-02-20,70.0,2922.72998046875,7.197199821472168,78.18000030517578,1.5759999752044678,2.277400016784668,925.0,70.0,0.008480074640495142,54.66032971146377,0.0,0.0,0.09671917550026876
2024-02-21,70.05,2950.9560546875,7.189700126647949,77.91000366210938,1.7730000019073486,2.2860000133514404,922.0,70.01,0.017781038492457508,57.57209975846366,0.07142857142856673,0.0035714285714283684,0.3973181023590797
2024-02-22,70.1,2988.35791015625,7.1880998611450195,78.61000061035156,1.7319999933242798,2.334700107574463,922.0,70.03,0.03259108170639825,60.31665320381867,0.14285714285713347,0.007142857142856737,0.8023523813141331
2024-02-23,70.1,3004.881103515625,7.193299770355225,76.48999786376953,1.6030000448226929,2.276700019836426,922.0,70.05,0.03868860571991907,60.31665320381867,0.14285714285713347,0.007142857142856737,0.8951070971308219
2024-02-26,70.02499999999999,2977.02197265625,7.194399833679199,77.58000183105469,1.659000039100647,2.3055999279022217,922.0,70.05499999999999,0.023448583308260933,54.21559702920314,0.035714285714272265,0.012499999999999798,0.5334970174984832
2024-02-27,70.0,3015.48095703125,7.196300029754639,78.87000274658203,1.6150000095367432,2.344399929046631,922.0,70.05499999999999,0.008306215476041231,52.31598199441388,0.0,0.014285714285713473,0.018884074239938542
2024-02-28,71.0,2957.85205078125,7.197400093078613,78.54000091552734,1.8849999904632568,2.2709999084472656,801.0,70.24499999999999,0.2153631108053057,80.9973588366543,1.4285714285714235,0.0857142857142849,0.12482568161235719
2024-02-29,72.0,3015.1708984375,7.196000099182129,78.26000213623047,1.8600000143051147,2.30430006980896,795.0,70.625,0.5286239382661161,88.46756775146356,2.857142857142847,0.15714285714285633,0.4749994590272202
2024-03-01,72.5,3027.02001953125,7.18720006942749,79.97000122070312,1.8350000381469727,2.6143999099731445,790.0,71.10499999999999,0.7714937479223045,90.48225459880233,3.571428571428581,0.19285714285714203,0.8932524171490073
2024-03-04,70.54,3039.305908203125,7.195799827575684,78.73999786376953,1.9160000085830688,2.585700035095215,789.0,71.208,0.4401387491739288,52.07635365790294,0.7714285714285785,0.3328571428571416,0.66496931663983
2024-03-05,73.21,3047.79296875,7.19890022277832,78.1500015258789,1.9570000171661377,2.5327999591827393,785.0,71.85,0.7986449579892696,70.4666082965727,4.585714285714282,0.5235714285714265,0.8293108376460872
2024-03-06,73.37,3039.930908203125,7.196000099182129,79.12999725341797,1.9290000200271606,2.5539000034332275,802.0,72.324,0.9760149235772387,71.18031619725267,4.739471805852968,0.5349999999999986,1.139331383726276
2024-03-07,73.0,3027.40087890625,7.195899963378906,78.93000030517578,1.8179999589920044,2.554800033569336,813.0,72.524,0.934474893078108,67.13965261443806,4.1369472182596345,0.5614285714285704,0.8444005722385093
2024-03-08,72.875,3046.01904296875,7.192299842834473,78.01000213623047,1.8049999475479126,2.5271999835968018,814.0,72.599,0.8285990409789534,65.78106805775748,3.9586305278174194,0.5703571428571418,0.32880155188092175
2024-03-11,72.5,3068.455078125,7.185200214385986,77.93000030517578,1.7589999437332153,2.5804998874664307,808.0,72.991,0.6423599218246933,61.74450418148466,3.534451981435205,0.5971428571428561,-0.23019818843635775
2024-03-12,72.5,3055.93505859375,7.183800220489502,77.55999755859375,1.7139999866485596,2.586400032043457,800.0,72.849,0.5018889543663088,61.74450418148466,3.571428571428581,0.5935714285714278,-0.43795279234466733
2024-03-13,72.2,3043.8349609375,7.181000232696533,79.72000122070312,1.6579999923706055,2.6614999771118164,787.0,72.615,0.3322250929564251,58.41851541176667,1.6901408450704203,0.6114285714285705,-0.8013112400940052
2024-03-14,71.7,3038.23388671875,7.186600208282471,81.26000213623047,1.7410000562667847,2.7032999992370605,793.0,72.35499999999999,0.11477175648447807,53.26830706336794,-0.4166666666666652,0.6471428571428562,-1.1952932196192805
2024-03-15,71.8,3054.635986328125,7.192200183868408,81.04000091552734,1.6549999713897705,2.7207999229431152,792.0,72.14,0.009990013057927957,54.139132737737945,-0.96551724137931,0.64892857142857,-0.9296228276415057
2024-03-18,71.6,3084.926025390625,7.195000171661377,82.72000122070312,1.7029999494552612,2.7572999000549316,799.0,71.96000000000001,-0.08997639433150532,52.05005046252385,1.502693507229913,0.6614285714285708,-1.0546101375013706
2024-03-19,72.5,3062.756103515625,7.197199821472168,83.47000122070312,1.74399995803833,2.762200117111206,795.0,71.96000000000001,0.05033467344045908,59.6040839828092,-0.9698128670946549,0.654285714285714,-0.6916858426711912
2024-03-20,72.60000000000001,3079.68603515625,7.197999954223633,81.68000030517578,1.6990000009536743,2.7332000732421875,794.0,72.04,0.14458255859921063,60.35149541916353,-1.0494752623688153,0.5900000000000004,-0.16215446363419161
2024-03-21,72.7,3077.113037109375,7.1975998878479,81.06999969482422,1.6829999685287476,2.727099895477295,794.0,72.24,0.20798033570449864,61.126073793236046,-0.4109589041095818,0.5614285714285714,0.38739514266586994
2024-03-22,72.5,3048.033935546875,7.198200225830078,80.62999725341797,1.659000039100647,2.739799976348877,794.0,72.38000000000001,0.1880164122021722,58.65787813645162,-0.5145797598627766,0.43571428571428633,0.25881133227354525
2024-03-25,72.4,3026.305908203125,7.228099822998047,81.94999694824219,1.6150000095367432,2.7483999729156494,789.0,72.53999999999999,0.14481104757473617,57.40965365286585,-0.13793103448275223,0.2521428571428582,-0.13550125673000224
2024-03-26,72.49,3031.48095703125,7.208399772644043,81.62000274658203,1.5750000476837158,2.7005999088287354,789.0,72.538,0.13129179947592814,58.270327326407624,-0.013793103448278554,0.2471428571428567,0.03368916201672434
2024-03-27,72.8,2993.138916015625,7.217700004577637,81.3499984741211,1.718000054359436,2.6847000122070312,865.0,72.578,0.18070752258672965,61.180265586377146,0.8310249307479145,0.24285714285714224,0.4180225913206854
